x/H,y/H,z/H,<u/uH>,Uu,<v/uH>,Uv,<w/uH>,Uw,<urms/uH>,Uurms,<vrms/uH>,Uvrms,<wrms/uH>,Uwrms,<tke/uH>,Utke,buffer
0.500 ,1.000 ,0.005 ,0.318 ,0.031 ,-0.012 ,0.007 ,-0.006 ,0.005 ,0.0010 ,0.0004 ,0.0333 ,0.0050 ,0.0002 ,0.0002 ,0.0173 ,0.0025 ,0.0000 
0.500 ,1.000 ,0.050 ,0.547 ,0.041 ,0.081 ,0.010 ,0.013 ,0.007 ,0.0145 ,0.0020 ,0.0358 ,0.0053 ,0.0034 ,0.0008 ,0.0268 ,0.0029 ,0.0000 
0.500 ,1.000 ,0.125 ,0.680 ,0.044 ,0.011 ,0.007 ,0.002 ,0.008 ,0.0303 ,0.0042 ,0.0393 ,0.0057 ,0.0085 ,0.0014 ,0.0391 ,0.0036 ,0.0000 
0.500 ,1.000 ,0.250 ,0.760 ,0.049 ,-0.028 ,0.006 ,-0.009 ,0.009 ,0.0324 ,0.0045 ,0.0403 ,0.0058 ,0.0113 ,0.0017 ,0.0420 ,0.0038 ,0.0000 
0.500 ,1.000 ,0.500 ,0.853 ,0.054 ,-0.038 ,0.007 ,-0.017 ,0.010 ,0.0401 ,0.0054 ,0.0416 ,0.0060 ,0.0130 ,0.0019 ,0.0474 ,0.0041 ,0.0000 
0.500 ,1.000 ,0.750 ,0.945 ,0.061 ,-0.029 ,0.007 ,-0.030 ,0.011 ,0.0437 ,0.0058 ,0.0417 ,0.0060 ,0.0133 ,0.0019 ,0.0493 ,0.0043 ,0.0000 
0.500 ,1.000 ,0.875 ,0.981 ,0.061 ,-0.014 ,0.007 ,-0.029 ,0.011 ,0.0485 ,0.0066 ,0.0373 ,0.0054 ,0.0138 ,0.0019 ,0.0498 ,0.0044 ,0.0000 
0.500 ,1.000 ,0.950 ,1.009 ,0.065 ,-0.027 ,0.008 ,-0.036 ,0.011 ,0.0441 ,0.0060 ,0.0334 ,0.0050 ,0.0117 ,0.0018 ,0.0446 ,0.0040 ,0.0000 
0.500 ,1.000 ,1.000 ,1.025 ,0.064 ,-0.013 ,0.008 ,-0.036 ,0.012 ,0.0388 ,0.0053 ,0.0308 ,0.0047 ,0.0116 ,0.0017 ,0.0406 ,0.0036 ,0.0000 
0.500 ,1.000 ,1.050 ,1.040 ,0.067 ,-0.012 ,0.007 ,-0.020 ,0.012 ,0.0440 ,0.0059 ,0.0292 ,0.0047 ,0.0120 ,0.0018 ,0.0426 ,0.0039 ,0.0000 
0.500 ,1.000 ,1.125 ,1.062 ,0.068 ,-0.001 ,0.008 ,-0.019 ,0.012 ,0.0443 ,0.0065 ,0.0293 ,0.0045 ,0.0123 ,0.0018 ,0.0430 ,0.0041 ,0.0000 
0.500 ,1.000 ,1.250 ,1.099 ,0.069 ,0.004 ,0.007 ,-0.019 ,0.012 ,0.0395 ,0.0053 ,0.0222 ,0.0037 ,0.0115 ,0.0017 ,0.0366 ,0.0033 ,0.0000 
0.500 ,1.000 ,1.500 ,1.155 ,0.072 ,0.002 ,0.008 ,-0.009 ,0.013 ,0.0202 ,0.0030 ,0.0188 ,0.0033 ,0.0103 ,0.0016 ,0.0246 ,0.0023 ,0.0000 
